"id","parent_id","usuario_id","tipo_sigo_id","tipo_marca_id","clase_id","pais_id","numero_solicitud","nombre","numero_registro","fecha_registro","numero_renovacion","numero_publicacion","numero_gaceta","fecha_publicacion","fecha_importacion","activo","valido","importado","activa","created_at","updated_at","anterior","propia"
10193,0,1,1,1,5,,"2399-1996","VALTIN","68687-C",09/11/1998,"72637-A","73266","1967",17/01/1997,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10194,0,1,1,1,5,,"3131-1996","VAPOFLU",,,,"74079","1977",07/03/1997,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10195,0,1,1,1,5,,"1433-1988","VASELASTIC","48631-C",16/05/1989,"55000-A","49968","1582",23/02/1989,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10196,0,1,1,1,5,,"98-2134","VENUX","76938-C",01/02/2000,,"82286","2131",19/04/1999,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10197,0,1,1,1,5,,"98-2131","VIPLENA","76935-C",01/02/2000,,"82283","2131",19/04/1999,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10199,0,1,1,1,5,,"0333-1997","VITAZOO",,,,"75421","2017",24/07/1997,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10200,0,1,1,1,3,,"1206-1988","VITELIUM-666","48399-C",07/03/1989,"55610-A","49741","1574",09/01/1989,07/08/2010,0,1,0,0,07/08/2010,07/08/2010,0,1
10201,0,1,1,1,3,,"0644-1996","WILD-666","67540-C",08/09/1998,,"72071","1960",13/12/1996,07/08/2010,0,1,0,0,07/08/2010,07/08/2010,0,1
10202,0,1,3,2,42,,"1527-1996","WORLD NUTRITION","73194-C",05/07/1999,,"72764","1967",17/01/1997,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10203,0,1,1,1,5,,"1982-1992","ZETIX","56203-C",29/03/1994,"64294-A","58319","1813",17/12/1993,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10204,0,1,1,1,5,,"0370-1996","ZIX","67280-C",01/09/1998,"72643-A","71834","1960",13/12/1996,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10205,0,1,1,1,3,,"2939-1997","ALIENTO SEGURO","71851-C",23/03/1999,,"78372","2052",10/03/1998,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10206,0,1,1,1,5,,"2417","DELGADOL","68691-C",09/11/1998,,"73284","1967",,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10207,0,1,1,1,5,,,"EGOL","73173-C",24/06/1999,,"69425",,,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10208,0,1,1,1,42,,,"EURO NUTRITION","73192-C",05/07/1999,,"72766",,,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10209,0,1,1,1,5,,,"GARCINOL - 666","68693-C",09/11/1998,,"73282",,,07/08/2010,0,1,0,0,07/08/2010,07/08/2010,0,1
10210,0,1,0,0,,,,"GARDEN HOUSE",,,,,,,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10212,0,1,1,1,5,,"3215","GERIALIN","71864-C",23/03/1999,,"78531","2052",10/03/1998,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
